title,venue,doi,year
MobileIQA: Exploiting Mobile-Level Diverse Opinion Network For No-Reference Image Quality Assessment Using Knowledge Distillation,ECCV,10.1007/978-3-031-91856-8_1,2024
Textual Grounding for Open-Vocabulary Visual Information Extraction in Layout-Diversified Documents,ECCV,10.1007/978-3-031-72995-9_27,2024
DiVR: Incorporating Context from Diverse VR Scenes for Human Trajectory Prediction,ECCV,10.1007/978-3-031-92387-6_20,2024
Boosting Transferability in Vision-Language Attacks via Diversification Along the Intersection Region of Adversarial Trajectory,ECCV,10.1007/978-3-031-72998-0_25,2024
On Pretraining Data Diversity for Self-Supervised Learning,ECCV,10.1007/978-3-031-72992-8_4,2024
Improving Geo-Diversity of Generated Images with Contextualized Vendi Score Guidance,ECCV,10.1007/978-3-031-73021-4_13,2024
Learn to Preserve and Diversify: Parameter-Efficient Group with Orthogonal Regularization for Domain Generalization,ECCV,10.1007/978-3-031-72983-6_12,2024
Semantic Diversity-Aware Prototype-Based Learning for Unbiased Scene Graph Generation,ECCV,10.1007/978-3-031-73113-6_22,2024
FedHARM: Harmonizing Model Architectural Diversity in Federated Learning,ECCV,10.1007/978-3-031-73036-8_3,2024
Adaptive High-Frequency Transformer for Diverse Wildlife Re-identification,ECCV,10.1007/978-3-031-72784-9_17,2024
FreestyleRet: Retrieving Images from Style-Diversified Queries,ECCV,10.1007/978-3-031-73337-6_15,2024
OpenKD: Opening Prompt Diversity for Zero- and Few-Shot Keypoint Detection,ECCV,10.1007/978-3-031-72655-2_9,2024
Optimal Transport of Diverse Unsupervised Tasks for Robust Learning from Noisy Few-Shot Data,ECCV,10.1007/978-3-031-72933-1_17,2024
SAVE: Protagonist Diversification with Structure Agnostic Video Editing,ECCV,10.1007/978-3-031-72989-8_3,2024
Diverse Text-to-3D Synthesis with Augmented Text Embedding,ECCV,10.1007/978-3-031-73226-3_13,2024
Q&amp;A Prompts: Discovering Rich Visual Clues through Mining Question-Answer Prompts for VQA requiring Diverse World Knowledge,ECCV,10.1007/978-3-031-72946-1_16,2024
PredBench: Benchmarking Spatio-Temporal Prediction Across Diverse Disciplines,ECCV,10.1007/978-3-031-73636-0_17,2024
Feature Diversification and Adaptation for Federated Domain Generalization,ECCV,10.1007/978-3-031-73220-1_4,2024
ProtoComp: Diverse Point Cloud Completion with Controllable Prototype,ECCV,10.1007/978-3-031-72973-7_16,2024
GraspXL: Generating Grasping Motions for Diverse Objects at Scale,ECCV,10.1007/978-3-031-73347-5_22,2024
EgoBody3M: Egocentric Body Tracking on a VR Headset using a Diverse Dataset,ECCV,10.1007/978-3-031-72986-7_22,2024
Alternate Diverse Teaching for Semi-supervised Medical Image Segmentation,ECCV,10.1007/978-3-031-72652-1_14,2024
DGR-MIL: Exploring Diverse Global Representation in Multiple Instance Learning for Whole Slide Image Classification,ECCV,10.1007/978-3-031-72920-1_19,2024
Diversified Dynamic Routing for Vision Tasks,ECCV,10.1007/978-3-031-25069-9_48,2022
Towards Regression-Free Neural Networks for Diverse Compute Platforms,ECCV,10.1007/978-3-031-19836-6_34,2022
Probing Contextual Diversity for Dense Out-of-Distribution Detection,ECCV,10.1007/978-3-031-25072-9_34,2022
